id,title,type,release_year,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,51,documentation',US',1,,NA,NA,0.6,NA
tm84618,Taxi Driver,MOVIE,1976,114,"drama', 'crime'",US',NA,tt0075314,8.2,808582,40.965,8.179
tm154986,Deliverance,MOVIE,1972,109,"drama', 'action', 'thriller', 'european'",US',NA,tt0068473,7.7,107673,10.01,7.3
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"fantasy', 'action', 'comedy'",GB',NA,tt0071853,8.2,534486,15.461,7.811
tm120801,The Dirty Dozen,MOVIE,1967,150,"war', 'action'","GB', 'US'",NA,tt0061578,7.7,72662,20.398,7.6
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"comedy', 'european'",GB',4,tt0063929,8.8,73424,17.617,8.306
tm70993,Life of Brian,MOVIE,1979,94,comedy',GB',NA,tt0079470,8,395024,17.77,7.8
tm14873,Dirty Harry,MOVIE,1971,102,"thriller', 'action', 'crime'",US',NA,tt0066999,7.7,155051,12.817,7.5
tm119281,Bonnie and Clyde,MOVIE,1967,110,"crime', 'drama', 'action'",US',NA,tt0061418,7.7,112048,15.687,7.5
tm98978,The Blue Lagoon,MOVIE,1980,104,"romance', 'action', 'drama'",US',NA,tt0080453,5.8,69844,50.324,6.156
tm44204,The Guns of Navarone,MOVIE,1961,158,"action', 'drama', 'war'","GB', 'US'",NA,tt0054953,7.5,50748,13.844,7.3
tm67378,The Professionals,MOVIE,1966,117,"western', 'action', 'european'",US',NA,tt0060862,7.3,16446,13.123,7.1
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"comedy', 'documentation'",US',NA,tt0079807,8.1,5141,4.718,7.5
tm16479,White Christmas,MOVIE,1954,115,"romance', 'comedy'",US',NA,tt0047673,7.5,42488,8.915,7.2
tm135083,Cairo Station,MOVIE,1958,77,"drama', 'crime', 'comedy'",EG',NA,tt0051390,7.5,4471,5.546,7.3
tm89386,Hitler: A Career,MOVIE,1977,150,"history', 'documentation', 'european'",DE',NA,tt0191182,7.5,2460,4.305,7.3
tm156453,FTA,MOVIE,1972,97,"war', 'documentation', 'music', 'comedy'",US',NA,tt0068562,6.2,418,1.268,6.1
tm14350,Alexandria… Why?,MOVIE,1979,133,drama',EG',NA,tt0077751,7.2,1727,1.37,6
tm81728,The Land,MOVIE,1969,129,drama',EG',NA,tt0064038,8.1,1958,1.265,8.5
